"","ZIPCODE","COUNT","RANKING","PROB"
"1","10001",380,10,0.626029654036244
"2","10002",458,5,0.754530477759473
"3","10003",607,1,1
"4","10004",93,31,0.153212520593081
"5","10005",52,37,0.085667215815486
"6","10006",42,38,0.0691927512355848
"7","10007",112,27,0.184514003294893
"8","10009",286,13,0.471169686985173
"9","10010",223,15,0.367380560131796
"10","10011",403,6.5,0.663920922570016
"11","10012",391,8,0.644151565074135
"12","10013",464,4,0.764415156507414
"13","10014",373,11,0.614497528830313
"14","10016",403,6.5,0.663920922570016
"15","10017",277,14,0.456342668863262
"16","10018",306,12,0.504118616144975
"17","10019",568,2,0.935749588138385
"18","10021",143,24.5,0.235584843492586
"19","10022",383,9,0.630971993410214
"20","10023",175,21.5,0.28830313014827
"21","10024",184,19,0.303130148270181
"22","10025",220,16,0.362438220757825
"23","10026",80,34,0.131795716639209
"24","10027",155,23,0.255354200988468
"25","10028",188,18,0.309719934102142
"26","10029",196,17,0.322899505766063
"27","10030",36,39,0.0593080724876442
"28","10031",107,28,0.176276771004942
"29","10032",106,29,0.174629324546952
"30","10033",114,26,0.187808896210873
"31","10034",97,30,0.159802306425041
"32","10035",84,33,0.13838550247117
"33","10036",505,3,0.831960461285008
"34","10037",26,42,0.042833607907743
"35","10038",176,20,0.28995057660626
"36","10039",32,40,0.0527182866556837
"37","10040",73,35,0.120263591433278
"38","10065",175,21.5,0.28830313014827
"39","10069",3,46,0.00494233937397035
"40","10075",89,32,0.14662273476112
"41","10128",143,24.5,0.235584843492586
"42","10280",10,44.5,0.0164744645799012
"43","10282",10,44.5,0.0164744645799012
"44","11106",54.3333333333333,36,0.0895112575507963
"45","11109",24.7777777777778,43,0.0408200622368662
"46","11231",29.7037037037037,41,0.0489352614558545
