"","Zip","COUNT.x","RANKING.x","COUNT.y","RANKING.y","COUNT.x.x","RANKING.x.x","COUNT.y.y","RANKING.y.y"
"1","10001",158,11,1,19.5,117,2,4,6.5
"2","10002",163,10,2,11.5,20,10,2,11.5
"3","10003",242,3,5,5.5,19,11,13,2.5
"4","10004",36,26,1,19.5,1,36,NA,NA
"5","10005",14,36,1,19.5,1,36,NA,NA
"6","10006",15,35,NA,NA,2,29.5,NA,NA
"7","10007",33,28,1,19.5,1,36,NA,NA
"8","10009",120,12,NA,NA,11,16.5,3,8.5
"9","10010",91,16,2,11.5,14,13.5,NA,NA
"10","10011",180,7,2,11.5,102,3,2,11.5
"11","10012",171,8,1,19.5,68,5,4,6.5
"12","10013",181,6,NA,NA,51,6,7,5
"13","10014",201,4,1,19.5,22,9,8,4
"14","10016",167,9,2,11.5,11,16.5,1,16.5
"15","10017",103,13,3,8,8,21,NA,NA
"16","10018",101,14.5,NA,NA,12,15,1,16.5
"17","10019",284,1,6,4,49,7,13,2.5
"18","10021",101,14.5,10,2,125,1,NA,NA
"19","10022",186,5,11,1,69,4,2,11.5
"20","10023",73,19,4,7,9,19,3,8.5
"21","10024",88,17,NA,NA,17,12,1,16.5
"22","10025",71,20,1,19.5,4,24,1,16.5
"23","10026",28,29.5,NA,NA,2,29.5,NA,NA
"24","10027",40,23.5,1,19.5,4,24,2,11.5
"25","10028",78,18,NA,NA,23,8,1,16.5
"26","10029",34,27,NA,NA,3,26.5,NA,NA
"27","10030",7,38,NA,NA,NA,NA,NA,NA
"28","10031",25,31,NA,NA,3,26.5,NA,NA
"29","10032",17,34,2,11.5,1,36,NA,NA
"30","10033",28,29.5,NA,NA,1,36,NA,NA
"31","10034",39,25,NA,NA,NA,NA,NA,NA
"32","10035",8,37,NA,NA,NA,NA,NA,NA
"33","10036",247,2,7,3,4,24,45,1
"34","10037",3,41,NA,NA,NA,NA,NA,NA
"35","10038",47,22,1,19.5,8,21,1,16.5
"36","10039",2,42,NA,NA,1,36,NA,NA
"37","10040",23,32,NA,NA,2,29.5,NA,NA
"38","10065",40,23.5,5,5.5,8,21,NA,NA
"39","10075",22,33,1,19.5,10,18,NA,NA
"40","10128",66,21,2,11.5,14,13.5,NA,NA
"41","10280",6,39.5,NA,NA,NA,NA,NA,NA
"42","10282",6,39.5,NA,NA,NA,NA,NA,NA
"43","10069",NA,NA,NA,NA,1,36,NA,NA
"44","11106",NA,NA,NA,NA,1,36,NA,NA
"45","11109",NA,NA,NA,NA,1,36,NA,NA
"46","11231",NA,NA,NA,NA,2,29.5,NA,NA
